CustomerID,Country,SalesChannel
37039.0,Australia,In-store
19144.0,Spain,Online
50472.0,Germany,Online
96586.0,Netherlands,Online
90000.0,United Kingdom,In-store
53887.0,Sweden,Online
46567.0,Belgium,Online
75098.0,Norway,In-store
87950.0,Belgium,Online
39718.0,Italy,Online
13030.0,United Kingdom,In-store
32466.0,Australia,In-store
89794.0,Australia,In-store
97817.0,Spain,Online
43017.0,Portugal,Online
85852.0,Belgium,In-store
15473.0,Germany,In-store
55644.0,Netherlands,Online
20566.0,Sweden,Online
19819.0,Spain,In-store
24716.0,Norway,In-store
16604.0,Norway,Online
45103.0,Sweden,Online
14803.0,Norway,Online
26772.0,France,Online
62114.0,Germany,Online
38576.0,Italy,Online
60532.0,Netherlands,Online
47802.0,Australia,Online
98066.0,United States,Online
83531.0,Portugal,In-store
59307.0,Netherlands,In-store
61358.0,United Kingdom,Online
54696.0,France,In-store
26741.0,Netherlands,Online
28203.0,Australia,In-store
87631.0,Belgium,In-store
41311.0,Spain,In-store
52219.0,France,In-store
30037.0,Portugal,Online
40568.0,Spain,In-store
89341.0,Australia,In-store
69201.0,Australia,In-store
46393.0,France,In-store
47167.0,Norway,Online
73680.0,Norway,In-store
57796.0,Netherlands,In-store
18741.0,Australia,Online
85133.0,Italy,Online
90001.0,Belgium,Online
75852.0,Belgium,In-store
25739.0,France,Online
79905.0,Netherlands,In-store
59341.0,Sweden,Online
28756.0,Italy,In-store
61799.0,United Kingdom,In-store
32638.0,Australia,In-store
80321.0,Italy,Online
35294.0,Germany,Online
47376.0,Belgium,Online
46641.0,Spain,Online
72552.0,Italy,Online
90002.0,United Kingdom,In-store
64580.0,Netherlands,Online
54809.0,Italy,Online
43390.0,Italy,Online
59957.0,United States,In-store
68005.0,Italy,Online
96641.0,Norway,Online
33544.0,Germany,In-store
94953.0,Germany,In-store
90003.0,United States,Online
55140.0,Spain,Online
55936.0,Portugal,Online
34933.0,Australia,Online
14443.0,Sweden,Online
16761.0,United Kingdom,Online
80434.0,United Kingdom,In-store
83214.0,Belgium,In-store
48511.0,United States,In-store
53228.0,Italy,Online
42562.0,Sweden,In-store
96452.0,Italy,In-store
35193.0,Belgium,Online
30966.0,United Kingdom,Online
62514.0,Germany,Online
61596.0,Norway,Online
62583.0,United Kingdom,Online
82963.0,Norway,In-store
89681.0,Belgium,In-store
79200.0,Belgium,Online
28796.0,United States,Online
76428.0,France,Online
46156.0,Italy,Online
97271.0,United Kingdom,Online
90167.0,Sweden,In-store
95325.0,Germany,In-store
41384.0,Netherlands,Online
84562.0,Portugal,In-store
97931.0,Portugal,Online
14493.0,Belgium,Online
71731.0,France,Online
60583.0,France,Online
90004.0,Norway,In-store
97562.0,United States,Online
90838.0,Portugal,In-store
64838.0,United Kingdom,In-store
30725.0,France,Online
59407.0,Italy,Online
90824.0,Sweden,Online
96508.0,Norway,In-store
70672.0,Norway,In-store
19020.0,Norway,In-store
90743.0,Germany,In-store
64659.0,Netherlands,Online
90633.0,United Kingdom,In-store
54727.0,United States,Online
10961.0,Belgium,In-store
66873.0,Belgium,Online
25714.0,Norway,Online
33058.0,Italy,In-store
83367.0,France,Online
15608.0,Sweden,In-store
49169.0,Netherlands,Online
70906.0,Spain,In-store
39946.0,Netherlands,Online
67934.0,Netherlands,In-store
30303.0,Norway,In-store
62272.0,United States,In-store
43069.0,United Kingdom,In-store
25812.0,France,In-store
78376.0,Germany,In-store
63965.0,Germany,In-store
58575.0,France,In-store
55924.0,Australia,Online
52354.0,Australia,In-store
78432.0,France,In-store
75894.0,France,Online
18762.0,Portugal,Online
15347.0,France,Online
60989.0,Spain,In-store
53955.0,Australia,In-store
83421.0,France,Online
62215.0,Sweden,Online
90005.0,Spain,Online
24841.0,Netherlands,In-store
25661.0,Norway,Online
90006.0,Netherlands,In-store
72722.0,Italy,Online
37447.0,Spain,In-store
44898.0,Netherlands,Online
48163.0,Australia,In-store
25641.0,Italy,In-store
96058.0,United Kingdom,In-store
73431.0,Sweden,Online
10263.0,Sweden,In-store
97116.0,Italy,In-store
40318.0,Portugal,In-store
99357.0,United Kingdom,Online
35788.0,France,In-store
27891.0,United States,Online
11617.0,United States,In-store
53537.0,Italy,Online
99835.0,Portugal,In-store
60352.0,Spain,Online
72043.0,United Kingdom,Online
75448.0,France,In-store
90007.0,Italy,In-store
94303.0,Netherlands,In-store
23776.0,Australia,Online
32464.0,Italy,In-store
43533.0,Italy,In-store
78931.0,France,Online
90008.0,Belgium,In-store
58610.0,Norway,Online
20524.0,United Kingdom,In-store
90009.0,Netherlands,In-store
92943.0,Portugal,Online
17169.0,France,Online
37427.0,Sweden,Online
25077.0,France,In-store
61731.0,Norway,Online
44711.0,Spain,In-store
46971.0,Netherlands,In-store
20383.0,United Kingdom,In-store
54324.0,Italy,Online
90909.0,United Kingdom,In-store
22909.0,Sweden,In-store
58651.0,Germany,In-store
48100.0,Italy,Online
58025.0,Italy,In-store
37608.0,Spain,Online
77521.0,Sweden,In-store
26697.0,United Kingdom,Online
81596.0,United States,In-store
90010.0,Germany,Online
91737.0,United States,Online
47742.0,Australia,Online
90011.0,Portugal,In-store
90012.0,Portugal,Online
41093.0,Sweden,In-store
90478.0,Netherlands,In-store
14917.0,Sweden,Online
58567.0,Australia,In-store
39410.0,Italy,Online
33164.0,Germany,In-store
70633.0,Norway,In-store
82942.0,United States,Online
92576.0,Netherlands,In-store
87074.0,Italy,Online
52179.0,United States,Online
24634.0,United States,Online
87303.0,United States,In-store
47080.0,Sweden,Online
17613.0,France,Online
26578.0,Netherlands,In-store
90013.0,United States,In-store
22601.0,Germany,Online
62939.0,Germany,In-store
65807.0,Belgium,In-store
16090.0,Australia,In-store
59504.0,Australia,In-store
45168.0,Belgium,In-store
27505.0,Germany,In-store
73136.0,France,In-store
90014.0,Netherlands,Online
96110.0,Portugal,Online
40269.0,France,Online
43144.0,Norway,In-store
62769.0,Netherlands,Online
58309.0,United Kingdom,Online
90015.0,Australia,Online
36263.0,Germany,In-store
28493.0,Germany,Online
43644.0,Germany,In-store
17586.0,Germany,Online
97802.0,France,In-store
32750.0,Belgium,In-store
54903.0,Belgium,Online
57019.0,Italy,In-store
65646.0,Germany,In-store
40868.0,Belgium,Online
79860.0,Netherlands,Online
85820.0,France,In-store
38192.0,Portugal,Online
53285.0,France,In-store
84794.0,Australia,Online
16744.0,United States,Online
47216.0,Norway,Online
16844.0,Portugal,In-store
45122.0,Sweden,Online
59068.0,Germany,Online
29977.0,Spain,In-store
47079.0,United States,Online
44289.0,Italy,Online
98008.0,Belgium,Online
76447.0,Norway,Online
76764.0,Belgium,In-store
80754.0,Portugal,Online
33675.0,Italy,Online
48451.0,Portugal,In-store
52913.0,Spain,Online
90016.0,Germany,Online
88985.0,Netherlands,In-store
19125.0,Germany,In-store
11839.0,Spain,In-store
17819.0,France,Online
40592.0,Portugal,Online
71700.0,United Kingdom,In-store
38593.0,United States,In-store
13471.0,Italy,In-store
21894.0,Portugal,In-store
24920.0,Germany,Online
90017.0,Norway,In-store
97126.0,Netherlands,In-store
75015.0,United Kingdom,In-store
38443.0,Italy,In-store
90018.0,Norway,Online
99931.0,Norway,In-store
97451.0,Spain,Online
90190.0,Portugal,In-store
10577.0,Spain,Online
87209.0,France,Online
67413.0,Sweden,In-store
38196.0,Sweden,In-store
59477.0,Germany,Online
63558.0,Australia,In-store
16586.0,United Kingdom,In-store
73585.0,United States,In-store
14482.0,United States,In-store
54005.0,Italy,In-store
79598.0,United Kingdom,Online
90019.0,Norway,In-store
65625.0,Belgium,In-store
91270.0,Belgium,Online
74368.0,United Kingdom,In-store
32743.0,United Kingdom,In-store
90020.0,Germany,In-store
30420.0,United Kingdom,Online
92574.0,United Kingdom,In-store
87362.0,Australia,Online
78561.0,Sweden,Online
95846.0,France,In-store
19976.0,Sweden,Online
14626.0,Portugal,In-store
66940.0,Portugal,Online
13846.0,Portugal,Online
34037.0,Portugal,In-store
27902.0,Sweden,Online
66028.0,Spain,In-store
83358.0,Italy,Online
22155.0,Belgium,In-store
21037.0,Italy,Online
90021.0,Germany,Online
45422.0,Australia,Online
31772.0,France,Online
48088.0,Italy,In-store
23492.0,Portugal,Online
98641.0,United States,In-store
41490.0,Germany,Online
83955.0,Italy,In-store
90022.0,Netherlands,Online
79693.0,Spain,Online
48867.0,Netherlands,Online
40737.0,United Kingdom,Online
87950.0,Norway,In-store
70628.0,Australia,In-store
52162.0,Portugal,Online
58638.0,United Kingdom,In-store
90023.0,Australia,Online
98299.0,Australia,Online
90024.0,Sweden,In-store
92841.0,France,Online
33323.0,Norway,Online
81681.0,United States,Online
26855.0,Netherlands,Online
69249.0,Spain,Online
73669.0,United States,Online
88420.0,Netherlands,In-store
26750.0,United States,In-store
90025.0,Sweden,In-store
65931.0,Italy,Online
90026.0,United States,In-store
67364.0,Spain,In-store
60315.0,Netherlands,Online
65709.0,Portugal,Online
37566.0,Portugal,In-store
69513.0,Spain,Online
74102.0,Norway,Online
71174.0,Germany,In-store
90027.0,United States,Online
46821.0,Spain,Online
66163.0,Italy,Online
90028.0,Spain,Online
72075.0,Germany,Online
77866.0,Norway,Online
74524.0,Australia,Online
91141.0,Sweden,Online
91317.0,Australia,In-store
96672.0,Australia,Online
37314.0,Belgium,In-store
55419.0,United Kingdom,Online
58164.0,United Kingdom,Online
72205.0,Netherlands,In-store
21909.0,United States,In-store
48484.0,France,Online
41488.0,Australia,Online
52544.0,Italy,Online
20294.0,United States,In-store
68841.0,Australia,Online
28476.0,Portugal,Online
22500.0,Germany,Online
90029.0,Belgium,In-store
53078.0,Portugal,In-store
35264.0,Germany,In-store
78193.0,Germany,In-store
87325.0,Germany,In-store
67790.0,Portugal,Online
96397.0,Netherlands,Online
41399.0,Portugal,In-store
20893.0,Portugal,Online
27279.0,Australia,In-store
65524.0,Australia,Online
96502.0,Sweden,In-store
90030.0,Spain,Online
19655.0,Norway,In-store
79290.0,Netherlands,In-store
73119.0,Norway,In-store
34992.0,United States,In-store
21572.0,United States,In-store
58975.0,Norway,Online
71315.0,United Kingdom,In-store
82707.0,Italy,Online
36996.0,Belgium,In-store
70348.0,Australia,Online
10600.0,France,Online
83954.0,Portugal,Online
74799.0,United States,Online
90031.0,Sweden,In-store
98183.0,United Kingdom,In-store
79470.0,Netherlands,Online
72229.0,Norway,Online
44602.0,United States,In-store
66936.0,Sweden,Online
56701.0,Portugal,Online
52260.0,Australia,Online
90032.0,France,In-store
51426.0,United States,Online
61025.0,Belgium,Online
87892.0,United States,Online
12606.0,Spain,Online
19601.0,Portugal,Online
48865.0,Italy,Online
87631.0,Spain,Online
76959.0,United Kingdom,In-store
90033.0,France,Online
71707.0,Norway,In-store
40761.0,United Kingdom,In-store
90034.0,Netherlands,In-store
55598.0,United Kingdom,Online
34714.0,United States,Online
41674.0,Sweden,In-store
96532.0,United States,Online
31323.0,Norway,Online
90490.0,Australia,In-store
99093.0,Germany,In-store
75119.0,United Kingdom,In-store
90035.0,Italy,In-store
90036.0,France,Online
35393.0,Spain,Online
54746.0,Netherlands,In-store
93701.0,Portugal,Online
47414.0,Sweden,In-store
42667.0,Germany,In-store
34484.0,Germany,In-store
45161.0,Netherlands,Online
85184.0,Spain,Online
95395.0,France,Online
82809.0,Norway,In-store
11810.0,Norway,In-store
90037.0,Netherlands,Online
60042.0,Portugal,In-store
28224.0,Portugal,Online
10690.0,United States,In-store
33890.0,United Kingdom,Online
64645.0,Netherlands,Online
22664.0,Germany,In-store
75974.0,Italy,In-store
43428.0,Netherlands,Online
63142.0,Norway,Online
87635.0,Australia,Online
26256.0,United Kingdom,In-store
11514.0,Germany,In-store
90038.0,Germany,In-store
48891.0,United States,Online
79142.0,United States,In-store
97086.0,Belgium,Online
83260.0,France,Online
44086.0,Spain,Online
90039.0,Spain,In-store
90068.0,Sweden,Online
49899.0,Portugal,In-store
31103.0,Sweden,Online
36587.0,Norway,In-store
90040.0,France,Online
66228.0,Norway,Online
94757.0,France,In-store
34344.0,Sweden,Online
90041.0,United Kingdom,In-store
10710.0,Australia,Online
46560.0,Belgium,In-store
62337.0,Belgium,Online
40650.0,Norway,Online
19221.0,Germany,In-store
63996.0,Australia,Online
90042.0,Italy,Online
46614.0,France,Online
82917.0,United Kingdom,In-store
95963.0,Portugal,In-store
90043.0,Spain,In-store
88103.0,Belgium,In-store
90044.0,Spain,In-store
85983.0,France,In-store
90045.0,Netherlands,In-store
97635.0,Portugal,Online
93300.0,Norway,In-store
55735.0,United Kingdom,Online
90417.0,Portugal,Online
19243.0,Norway,In-store
76763.0,United States,Online
97715.0,Italy,In-store
44805.0,Belgium,Online
72141.0,Sweden,Online
58153.0,Germany,Online
48644.0,Italy,In-store
25688.0,Netherlands,Online
68165.0,Norway,Online
72833.0,Germany,Online
26773.0,Netherlands,In-store
47369.0,Belgium,Online
90046.0,United States,In-store
53438.0,Belgium,Online
18173.0,Italy,In-store
12403.0,Sweden,In-store
90901.0,United Kingdom,In-store
54624.0,Sweden,Online
30573.0,Italy,In-store
90047.0,Belgium,Online
23992.0,France,In-store
57539.0,United Kingdom,In-store
97451.0,Portugal,Online
90048.0,United States,Online
66485.0,Portugal,Online
81211.0,Spain,Online
44667.0,Netherlands,In-store
26187.0,Norway,In-store
91820.0,United States,Online
76076.0,United Kingdom,Online
67916.0,Australia,In-store
45088.0,Spain,In-store
68708.0,Sweden,In-store
13572.0,France,In-store
90049.0,France,In-store
37215.0,United States,In-store
41706.0,Australia,Online
31146.0,Belgium,Online
49539.0,Italy,In-store
85013.0,Portugal,In-store
41861.0,Sweden,In-store
70394.0,Netherlands,In-store
39686.0,Netherlands,Online
69767.0,Germany,Online
13352.0,Portugal,In-store
39931.0,Netherlands,Online
63295.0,Italy,In-store
14440.0,Australia,In-store
28276.0,Italy,In-store
13702.0,France,Online
85467.0,Portugal,Online
98968.0,Norway,Online
25425.0,France,In-store
71231.0,Australia,Online
90050.0,Germany,In-store
40213.0,United Kingdom,Online
23402.0,Italy,Online
33843.0,Sweden,Online
15316.0,Sweden,In-store
57855.0,Spain,In-store
70875.0,Australia,Online
52362.0,United Kingdom,In-store
19599.0,Belgium,In-store
99740.0,United Kingdom,Online
57594.0,France,In-store
40483.0,Netherlands,Online
67271.0,Australia,In-store
52971.0,France,Online
69203.0,Portugal,Online
90051.0,Netherlands,Online
68150.0,Belgium,In-store
42206.0,Sweden,Online
38911.0,Australia,Online
97053.0,France,In-store
53288.0,Netherlands,Online
90052.0,Belgium,Online
13899.0,Italy,Online
65119.0,Italy,In-store
12608.0,United Kingdom,Online
87764.0,Italy,Online
31674.0,United States,In-store
67751.0,United Kingdom,In-store
38061.0,Australia,Online
59624.0,Germany,In-store
64280.0,France,Online
24449.0,Norway,In-store
33404.0,Norway,Online
52606.0,Portugal,Online
60678.0,Netherlands,In-store
90053.0,Sweden,Online
25886.0,Germany,Online
34667.0,Portugal,In-store
90054.0,United States,In-store
97468.0,Germany,In-store
99825.0,Netherlands,In-store
68674.0,Italy,Online
29269.0,Germany,Online
61035.0,Germany,Online
12617.0,Spain,In-store
62976.0,Sweden,Online
56086.0,Australia,In-store
41764.0,France,In-store
98891.0,Germany,In-store
71810.0,Portugal,Online
40299.0,United Kingdom,In-store
87473.0,United States,Online
98016.0,Belgium,Online
83824.0,Spain,Online
42814.0,Sweden,Online
11372.0,United Kingdom,Online
66777.0,United Kingdom,Online
23458.0,Portugal,In-store
93149.0,Belgium,In-store
70326.0,Australia,In-store
56810.0,Netherlands,Online
10735.0,Spain,In-store
40824.0,Sweden,In-store
47557.0,United Kingdom,Online
90923.0,United States,In-store
88364.0,Germany,Online
90055.0,United States,In-store
91609.0,Belgium,In-store
57718.0,Belgium,Online
86356.0,Sweden,In-store
84934.0,United States,Online
33768.0,Norway,In-store
85073.0,Belgium,In-store
75498.0,Portugal,In-store
35750.0,Spain,Online
11669.0,Italy,In-store
70793.0,Belgium,Online
53720.0,Norway,Online
74885.0,Portugal,In-store
40881.0,United Kingdom,In-store
23603.0,United Kingdom,In-store
54841.0,Sweden,Online
90056.0,Spain,Online
47907.0,United Kingdom,Online
42832.0,Norway,Online
90057.0,Belgium,In-store
94205.0,Italy,Online
57835.0,Norway,In-store
98176.0,Spain,In-store
23478.0,Belgium,Online
34690.0,Spain,Online
95100.0,United States,Online
95289.0,Australia,In-store
42679.0,Belgium,Online
75607.0,Sweden,Online
30356.0,Sweden,In-store
66157.0,Sweden,In-store
90058.0,Portugal,Online
49114.0,Spain,In-store
18886.0,France,In-store
22411.0,Spain,Online
90059.0,Netherlands,In-store
41819.0,Germany,In-store
90060.0,Italy,Online
20012.0,Netherlands,Online
53102.0,Belgium,In-store
69509.0,Italy,In-store
65315.0,Germany,In-store
90061.0,United Kingdom,Online
68993.0,Australia,Online
67525.0,France,In-store
44064.0,Portugal,In-store
19269.0,United States,Online
64287.0,United States,In-store
90062.0,United Kingdom,In-store
74911.0,Sweden,Online
27097.0,Netherlands,In-store
48411.0,Netherlands,In-store
45977.0,Spain,In-store
69759.0,United Kingdom,Online
36630.0,Sweden,Online
90063.0,Germany,Online
74342.0,Norway,In-store
17266.0,United Kingdom,In-store
39065.0,United States,In-store
48325.0,United Kingdom,Online
87742.0,Germany,In-store
16003.0,Germany,In-store
39553.0,Belgium,In-store
90064.0,Belgium,In-store
99963.0,United States,Online
81660.0,Portugal,Online
51439.0,Australia,Online
91591.0,Netherlands,Online
87327.0,Portugal,Online
51935.0,Norway,Online
57408.0,Netherlands,In-store
95165.0,Netherlands,In-store
90065.0,United Kingdom,Online
14967.0,Netherlands,Online
49763.0,Belgium,In-store
20077.0,Australia,In-store
65562.0,Netherlands,Online
10647.0,Belgium,Online
82630.0,Australia,In-store
67935.0,France,Online
96250.0,Belgium,In-store
60406.0,Italy,In-store
59334.0,Norway,Online
74518.0,Sweden,In-store
99835.0,Germany,In-store
76300.0,Belgium,Online
20343.0,Norway,Online
13061.0,Italy,In-store
89073.0,Italy,In-store
57868.0,Germany,In-store
36478.0,Netherlands,Online
34063.0,France,In-store
75696.0,Italy,In-store
90066.0,Spain,Online
11262.0,Portugal,In-store
51288.0,Sweden,Online
59837.0,Belgium,In-store
23701.0,Norway,In-store
52898.0,Norway,Online
90067.0,France,Online
11129.0,United States,In-store
76304.0,Norway,Online
72778.0,Netherlands,In-store
43746.0,United Kingdom,Online
84863.0,Portugal,In-store
49176.0,Spain,In-store
77536.0,Germany,In-store
29121.0,Netherlands,In-store
11897.0,Germany,Online
91522.0,Germany,In-store
39326.0,France,In-store
17102.0,Portugal,In-store
62398.0,France,In-store
64524.0,Italy,In-store
66502.0,France,In-store
49111.0,Spain,Online
90068.0,France,Online
83904.0,Netherlands,Online
60647.0,Netherlands,Online
37395.0,Netherlands,Online
87333.0,Norway,In-store
89088.0,Spain,In-store
52749.0,Australia,Online
84300.0,Italy,In-store
97439.0,France,In-store
26804.0,Belgium,In-store
27338.0,United States,Online
90069.0,France,Online
63142.0,United Kingdom,Online
83932.0,Portugal,In-store
74062.0,France,Online
10752.0,Spain,In-store
88305.0,Belgium,Online
39648.0,United States,Online
79530.0,Belgium,Online
96337.0,Australia,In-store
90070.0,Netherlands,Online
99827.0,Italy,In-store
87511.0,France,In-store
64689.0,United States,Online
88143.0,Belgium,In-store
34573.0,France,Online
95967.0,Norway,In-store
58423.0,Sweden,Online
62733.0,Australia,Online
