StockCode,Description,Category
SKU_1964,White Mug,Apparel
SKU_1241,White Mug,Electronics
SKU_1501,Headphones,Electronics
SKU_1760,Desk Lamp,Accessories
SKU_1386,USB Cable,Electronics
SKU_1006,Office Chair,Electronics
SKU_1087,USB Cable,Stationery
SKU_1597,Notebook,Electronics
SKU_1907,Wireless Mouse,Apparel
SKU_1866,Headphones,Apparel
SKU_1144,Notebook,Stationery
SKU_1450,Office Chair,Furniture
SKU_1330,Blue Pen,Electronics
SKU_1709,Headphones,Stationery
SKU_1874,Wall Clock,Electronics
SKU_1163,T-shirt,Furniture
SKU_1656,Office Chair,Apparel
SKU_1341,Headphones,Stationery
SKU_1000,Backpack,Accessories
SKU_1119,USB Cable,Furniture
SKU_1578,Wall Clock,Accessories
SKU_1463,Notebook,Furniture
SKU_1866,Wireless Mouse,Accessories
SKU_1461,T-shirt,Stationery
SKU_1048,T-shirt,Electronics
SKU_1818,Blue Pen,Stationery
SKU_1326,USB Cable,Stationery
SKU_1473,Wall Clock,Apparel
SKU_1887,Office Chair,Furniture
SKU_1938,USB Cable,Furniture
SKU_1367,White Mug,Stationery
SKU_1286,White Mug,Electronics
SKU_1023,Headphones,Accessories
SKU_1722,Wall Clock,Stationery
SKU_1292,Headphones,Electronics
SKU_1448,T-shirt,Stationery
SKU_1984,Backpack,Furniture
SKU_1062,Desk Lamp,Stationery
SKU_1567,Wireless Mouse,Stationery
SKU_1457,T-shirt,Stationery
SKU_1529,Notebook,Furniture
SKU_1873,Blue Pen,Electronics
SKU_1960,Backpack,Accessories
SKU_1412,USB Cable,Apparel
SKU_1588,Desk Lamp,Furniture
SKU_1259,Wall Clock,Apparel
SKU_1632,Wireless Mouse,Stationery
SKU_1907,Wireless Mouse,Electronics
SKU_1183,T-shirt,Electronics
SKU_1047,Office Chair,Accessories
SKU_1146,Headphones,Stationery
SKU_1793,Wall Clock,Apparel
SKU_1875,Backpack,Stationery
SKU_1805,Headphones,Apparel
SKU_1591,T-shirt,Stationery
SKU_1747,Office Chair,Apparel
SKU_1408,Blue Pen,Furniture
SKU_1439,Desk Lamp,Stationery
SKU_1457,Blue Pen,Accessories
SKU_1228,Backpack,Apparel
SKU_1283,Office Chair,Stationery
SKU_1572,Notebook,Furniture
