InvoiceNo,ShipmentProvider,WarehouseLocation,OrderPriority,ReturnStatus,PaymentMethod
221958,UPS,London,Medium,Not Returned,Bank Transfer
771155,UPS,Rome,Medium,Not Returned,paypall
231932,UPS,Berlin,High,Returned,Bank Transfer
465838,Royal Mail,Rome,Low,Not Returned,paypall
359178,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
744167,DHL,London,Medium,Not Returned,Credit Card
210268,FedEx,Amsterdam,High,Not Returned,Bank Transfer
832180,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
154886,UPS,Berlin,High,Not Returned,paypall
237337,Royal Mail,London,Low,Not Returned,Bank Transfer
621430,UPS,Paris,Medium,Returned,paypall
187498,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
999159,FedEx,Berlin,Medium,Not Returned,Credit Card
275203,Royal Mail,Paris,Low,Not Returned,Credit Card
291335,Royal Mail,Amsterdam,High,Not Returned,Credit Card
378167,UPS,Amsterdam,High,Not Returned,Bank Transfer
141090,FedEx,Paris,High,Not Returned,Bank Transfer
429365,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
164820,FedEx,London,Medium,Not Returned,Bank Transfer
887201,UPS,London,Medium,Returned,Credit Card
421879,FedEx,Berlin,Low,Returned,Bank Transfer
818315,FedEx,Berlin,High,Not Returned,paypall
427069,Royal Mail,Paris,High,Not Returned,Bank Transfer
876997,Royal Mail,Paris,Low,Not Returned,Credit Card
299041,UPS,Berlin,Low,Not Returned,Bank Transfer
891743,DHL,Rome,Low,Not Returned,paypall
203355,Royal Mail,Paris,High,Not Returned,Bank Transfer
335796,FedEx,Rome,Medium,Not Returned,Credit Card
314176,DHL,Amsterdam,Low,Not Returned,Credit Card
284779,DHL,Amsterdam,Medium,Not Returned,Credit Card
447449,Royal Mail,Rome,High,Not Returned,Credit Card
521909,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
358795,Royal Mail,Berlin,Medium,Not Returned,Credit Card
586232,DHL,Rome,Low,Returned,Credit Card
600186,UPS,Amsterdam,High,Not Returned,Credit Card
256730,DHL,Rome,Medium,Not Returned,Bank Transfer
970910,DHL,London,Low,Not Returned,Bank Transfer
484681,DHL,Amsterdam,Low,Not Returned,paypall
249503,UPS,Paris,Medium,Not Returned,paypall
754811,UPS,London,Low,Not Returned,paypall
627035,UPS,Paris,Low,Not Returned,Credit Card
748143,UPS,Berlin,Low,Not Returned,paypall
552366,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
165725,Royal Mail,Rome,Low,Not Returned,Bank Transfer
229981,UPS,Amsterdam,Low,Not Returned,Bank Transfer
184654,FedEx,London,High,Not Returned,Bank Transfer
691723,UPS,Paris,High,Not Returned,Bank Transfer
419030,DHL,Paris,Low,Not Returned,paypall
428947,DHL,Paris,High,Not Returned,Bank Transfer
655839,UPS,London,High,Not Returned,Credit Card
373538,UPS,Rome,Low,Not Returned,Credit Card
431236,DHL,Rome,Medium,Not Returned,Bank Transfer
628178,Royal Mail,London,Low,Not Returned,Credit Card
665894,Royal Mail,Berlin,Low,Not Returned,Bank Transfer
589492,DHL,London,Medium,Not Returned,paypall
356840,FedEx,Paris,Low,Returned,Bank Transfer
573254,UPS,London,Low,Not Returned,paypall
449457,DHL,Amsterdam,High,Not Returned,Bank Transfer
765987,UPS,Berlin,High,Not Returned,Bank Transfer
370936,DHL,Rome,High,Not Returned,Bank Transfer
339931,UPS,London,Low,Not Returned,paypall
339629,Royal Mail,Paris,Low,Not Returned,Credit Card
305041,DHL,Amsterdam,Medium,Not Returned,Credit Card
798361,UPS,Amsterdam,Medium,Not Returned,Credit Card
831912,DHL,Berlin,High,Not Returned,Bank Transfer
517113,Royal Mail,Berlin,Medium,Not Returned,paypall
168148,UPS,London,High,Not Returned,Bank Transfer
877089,FedEx,Paris,Medium,Not Returned,Bank Transfer
748531,UPS,Amsterdam,Medium,Not Returned,paypall
351995,UPS,London,Medium,Not Returned,Bank Transfer
778843,FedEx,Rome,High,Not Returned,Bank Transfer
672843,DHL,London,Medium,Not Returned,paypall
356508,Royal Mail,Rome,Low,Not Returned,Bank Transfer
903591,Royal Mail,Rome,Low,Not Returned,Bank Transfer
996942,UPS,Berlin,High,Not Returned,Credit Card
206530,Royal Mail,London,Low,Not Returned,paypall
704365,Royal Mail,Amsterdam,High,Not Returned,paypall
922352,Royal Mail,London,Low,Not Returned,Bank Transfer
560337,DHL,Rome,Medium,Not Returned,paypall
824839,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
905889,FedEx,Paris,Low,Returned,Credit Card
559773,DHL,Amsterdam,High,Not Returned,paypall
308261,DHL,Berlin,Low,Returned,Credit Card
864469,FedEx,Amsterdam,Low,Not Returned,paypall
441097,DHL,Paris,High,Not Returned,paypall
415139,Royal Mail,Rome,Low,Not Returned,Bank Transfer
271829,DHL,Berlin,Low,Not Returned,Bank Transfer
371836,UPS,Paris,Low,Not Returned,Bank Transfer
538974,FedEx,London,High,Not Returned,paypall
302283,Royal Mail,Rome,Low,Not Returned,Credit Card
296769,DHL,Paris,Low,Not Returned,paypall
661353,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
323165,Royal Mail,Rome,Medium,Not Returned,Bank Transfer
723587,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
635822,DHL,Berlin,High,Not Returned,Credit Card
587879,UPS,Rome,High,Not Returned,Bank Transfer
664685,Royal Mail,Rome,Medium,Returned,Credit Card
882038,UPS,London,High,Not Returned,Bank Transfer
453531,DHL,Berlin,Low,Not Returned,Bank Transfer
363160,FedEx,London,Low,Not Returned,Bank Transfer
679879,DHL,Amsterdam,Medium,Not Returned,paypall
320884,Royal Mail,London,High,Not Returned,paypall
123247,FedEx,Paris,High,Returned,Credit Card
124300,UPS,Amsterdam,High,Not Returned,Bank Transfer
567281,FedEx,Amsterdam,Low,Not Returned,Credit Card
707086,DHL,London,High,Not Returned,Credit Card
633556,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
448951,DHL,Amsterdam,Low,Not Returned,Bank Transfer
