InvoiceNo,StockCode,CustomerID,InvoiceDate,Quantity,UnitPrice,Discount,ShippingCost,TotalAmount
221958,SKU_1964,37039.0,2020-01-01,38,1.71,0.47,10.79,34.439400000000006
771155,SKU_1241,19144.0,2020-01-01,18,41.25,0.19,9.51,601.4250000000001
231932,SKU_1501,50472.0,2020-01-01,49,29.11,0.35,23.03,927.1534999999999
465838,SKU_1760,96586.0,2020-01-01,14,76.68,0.14,11.08,923.2271999999999
359178,SKU_1386,90000.0,2020-01-01,-30,-68.11,1.501433043360303,17.41,-1024.578137498107
744167,SKU_1006,53887.0,2020-01-01,47,70.16,0.48,13.98,1714.7104
210268,SKU_1087,46567.0,2020-01-01,25,85.74,0.15,12.92,1821.975
832180,SKU_1597,75098.0,2020-01-01,8,95.65,0.04,6.48,734.592
154886,SKU_1907,87950.0,2020-01-01,19,98.19,0.05,12.56,1772.3294999999998
237337,SKU_1866,39718.0,2020-01-01,40,98.17,0.16,7.71,3298.512
621430,SKU_1144,13030.0,2020-01-01,49,87.56,0.19,9.83,3475.2564000000007
187498,SKU_1450,32466.0,2020-01-01,41,59.51,0.39,12.0,1488.3450999999998
999159,SKU_1330,89794.0,2020-01-01,41,25.59,0.01,15.58,1038.6981
275203,SKU_1709,97817.0,2020-01-01,3,2.09,0.47,19.22,3.3230999999999997
291335,SKU_1874,43017.0,2020-01-01,29,35.88,0.06,14.85,978.0887999999999
378167,SKU_1163,85852.0,2020-01-01,16,82.58,0.41,27.02,779.5552000000001
141090,SKU_1656,15473.0,2020-01-01,7,70.85,0.0,23.66,495.94999999999993
429365,SKU_1341,55644.0,2020-01-01,49,14.91,0.36,5.32,467.5776
164820,SKU_1000,20566.0,2020-01-01,21,1.07,0.49,15.09,11.459700000000002
887201,SKU_1119,19819.0,2020-01-01,46,27.03,0.26,23.8,920.1012000000001
421879,SKU_1578,24716.0,2020-01-01,43,77.17,0.3,24.77,2322.817
818315,SKU_1463,16604.0,2020-01-01,14,66.89,0.42,15.05,543.1468000000001
427069,SKU_1866,45103.0,2020-01-01,39,66.18,0.07,27.02,2400.3486000000003
876997,SKU_1461,14803.0,2020-01-01,24,70.01,0.12,13.16,1478.6112000000003
299041,SKU_1048,26772.0,2020-01-02,48,27.87,0.24,19.61,1016.6976
891743,SKU_1818,62114.0,2020-01-02,30,59.53,0.25,23.67,1339.4250000000002
203355,SKU_1326,38576.0,2020-01-02,33,97.96,0.23,7.25,2489.1636
335796,SKU_1473,60532.0,2020-01-02,22,28.73,0.25,8.44,474.0450000000001
314176,SKU_1887,47802.0,2020-01-02,10,86.71,0.36,16.86,554.944
284779,SKU_1938,98066.0,2020-01-02,11,90.69,0.39,25.31,608.5298999999999
447449,SKU_1367,83531.0,2020-01-02,15,40.36,0.03,6.14,587.2379999999999
521909,SKU_1286,59307.0,2020-01-02,48,8.39,0.08,15.29,370.5024
358795,SKU_1023,61358.0,2020-01-02,30,99.31,0.31,22.31,2055.717
586232,SKU_1722,54696.0,2020-01-02,14,10.32,0.01,28.9,143.0352
600186,SKU_1292,26741.0,2020-01-02,32,82.94,0.15,28.6,2255.968
256730,SKU_1448,28203.0,2020-01-02,26,35.39,0.02,21.07,901.7371999999999
970910,SKU_1984,87631.0,2020-01-02,21,61.34,0.24,9.39,978.9864000000001
484681,SKU_1062,41311.0,2020-01-02,5,30.77,0.31,15.27,106.1565
249503,SKU_1567,52219.0,2020-01-02,47,38.11,0.27,25.15,1307.5541
754811,SKU_1457,30037.0,2020-01-02,12,29.06,0.15,12.84,296.412
627035,SKU_1529,40568.0,2020-01-02,29,21.32,0.16,10.88,519.3552
748143,SKU_1873,89341.0,2020-01-02,21,36.85,0.15,28.34,657.7725
552366,SKU_1960,69201.0,2020-01-02,25,86.68,0.02,23.35,2123.66
165725,SKU_1412,46393.0,2020-01-02,16,9.08,0.04,18.69,139.4688
229981,SKU_1588,47167.0,2020-01-02,31,2.1,0.29,16.04,46.221000000000004
184654,SKU_1259,73680.0,2020-01-02,20,24.36,0.07,18.99,453.09599999999995
691723,SKU_1632,57796.0,2020-01-02,31,84.83,0.12,23.25,2314.1624
419030,SKU_1907,18741.0,2020-01-02,11,93.1,0.38,8.78,634.9419999999999
428947,SKU_1183,85133.0,2020-01-03,32,81.47,0.0,9.14,2607.04
655839,SKU_1047,90001.0,2020-01-03,48,4.74,0.22,23.11,177.46560000000002
373538,SKU_1146,75852.0,2020-01-03,8,20.35,0.1,20.37,146.52
431236,SKU_1793,25739.0,2020-01-03,23,33.63,0.33,6.6,518.2383
628178,SKU_1875,79905.0,2020-01-03,8,68.66,0.13,26.31,477.87359999999995
665894,SKU_1805,59341.0,2020-01-03,2,33.4,0.16,18.88,56.111999999999995
589492,SKU_1591,28756.0,2020-01-03,27,49.95,0.3,10.36,944.055
356840,SKU_1747,61799.0,2020-01-03,36,5.04,0.15,27.63,154.224
573254,SKU_1408,32638.0,2020-01-03,35,4.66,0.27,19.65,119.06299999999999
449457,SKU_1439,80321.0,2020-01-03,23,73.48,0.37,29.57,1064.7252
765987,SKU_1457,35294.0,2020-01-03,41,11.4,0.08,12.87,430.00800000000004
370936,SKU_1228,47376.0,2020-01-03,48,28.29,0.33,16.89,909.8063999999999
339931,SKU_1283,46641.0,2020-01-03,13,1.47,0.32,8.53,12.994799999999998
339629,SKU_1572,72552.0,2020-01-03,31,55.33,0.05,25.13,1629.4685
305041,SKU_1731,90002.0,2020-01-03,45,54.79,0.23,8.97,1898.4735000000003
798361,SKU_1344,64580.0,2020-01-03,30,45.18,0.32,13.75,921.672
831912,SKU_1600,54809.0,2020-01-03,6,78.9,0.1,12.89,426.06000000000006
517113,SKU_1946,43390.0,2020-01-03,20,39.0,0.09,21.67,709.8000000000001
168148,SKU_1907,59957.0,2020-01-03,26,25.56,0.48,10.4,345.5712
877089,SKU_1263,68005.0,2020-01-03,36,34.13,0.32,20.69,835.5024
748531,SKU_1739,96641.0,2020-01-03,19,69.38,0.33,27.74,883.2073999999998
351995,SKU_1377,33544.0,2020-01-03,22,94.81,0.43,25.61,1188.9174000000003
778843,SKU_1102,94953.0,2020-01-03,12,70.77,0.33,17.0,568.9907999999999
672843,SKU_1953,90003.0,2020-01-03,3,99.17,0.03,11.58,288.5847
356508,SKU_1599,55140.0,2020-01-04,5,61.05,0.45,8.03,167.88750000000002
903591,SKU_1022,55936.0,2020-01-04,5,94.77,0.13,19.81,412.24949999999995
996942,SKU_1292,34933.0,2020-01-04,43,15.02,0.02,18.34,632.9428
206530,SKU_1266,14443.0,2020-01-04,23,24.56,0.32,14.23,384.11839999999995
704365,SKU_1528,16761.0,2020-01-04,14,66.41,0.22,22.68,725.1972000000001
922352,SKU_1475,80434.0,2020-01-04,49,49.41,0.38,8.8,1501.0757999999998
560337,SKU_1951,83214.0,2020-01-04,39,36.99,0.38,20.06,894.4182000000001
824839,SKU_1948,48511.0,2020-01-04,7,36.14,0.34,6.87,166.96679999999998
905889,SKU_1450,53228.0,2020-01-04,35,30.82,0.03,8.87,1046.339
